num_cores,n_tasks,target_utilization,scheduling_type,scheduling_policy,preemption_mode,allocation_policy,avg_response_time_sim,schedulability_ratio_sim,deadline_misses,total_jobs,avg_response_time_cf,schedulability_ratio_cf,avg_sched_delay,energy_estimate,analysis_overhead
4,5,0.5,Partitioned,LDF,Non-Preemptive,First-Fit Decreasing,43.77855464922083,0.9259259259259259,2,27,36.446344444147144,1.0,14.621479093903115,374.228419350711,0.0004024505615234375
4,10,0.25,Global,FIFO,Preemptive,,7.720372874440024,1.0,0,64,10.662199036278313,1.0,0.6122401835878168,139.8018063915218,0.000637054443359375
4,10,0.25,Partitioned,FIFO,Preemptive,First-Fit Decreasing,8.284972915298932,1.0,0,64,10.662199036278313,1.0,1.1768402244467246,139.8018063915218,0.000640869140625
4,10,0.25,Global,FIFO,Non-Preemptive,,7.720372874440024,1.0,0,64,10.662199036278313,1.0,0.6122401835878168,139.8018063915218,0.0006303787231445312
4,10,0.25,Partitioned,FIFO,Non-Preemptive,First-Fit Decreasing,8.284972915298932,1.0,0,64,10.662199036278313,1.0,1.1768402244467246,139.8018063915218,0.0006177425384521484
4,10,0.25,Global,HEFT,Preemptive,,0.0,0.0,0,0,10.662199036278313,1.0,0.0,132.8117160719457,0.10446667671203613
4,10,0.25,Partitioned,HEFT,Preemptive,First-Fit Decreasing,0.0,0.0,0,0,10.662199036278313,1.0,0.0,132.8117160719457,0.10422110557556152
4,10,0.25,Global,HEFT,Non-Preemptive,,8.290017276768445,1.0,0,64,10.662199036278313,1.0,1.1818845859162384,132.8117160719457,0.0006802082061767578
4,10,0.25,Partitioned,HEFT,Non-Preemptive,First-Fit Decreasing,10.801467353917573,1.0,0,64,10.662199036278313,1.0,3.6933346630653663,132.8117160719457,0.0006835460662841797
4,10,0.25,Global,LDF,Preemptive,,0.0,0.0,0,0,10.662199036278313,1.0,0.0,146.7918967110979,0.11627602577209473
4,10,0.25,Partitioned,LDF,Preemptive,First-Fit Decreasing,0.0,0.0,0,0,10.662199036278313,1.0,0.0,146.7918967110979,0.09906840324401855
4,10,0.25,Global,LDF,Non-Preemptive,,8.168111537461067,1.0,0,64,10.662199036278313,1.0,1.0599788466088604,146.7918967110979,0.0006704330444335938
4,10,0.25,Partitioned,LDF,Non-Preemptive,First-Fit Decreasing,10.815317984877375,1.0,0,64,10.662199036278313,1.0,3.7071852940251677,146.7918967110979,0.0006663799285888672
4,10,0.5,Global,FIFO,Preemptive,,27.347879561526465,0.9803921568627451,1,51,34.4756793269527,1.0,4.364093343558,406.1262779728891,0.0007159709930419922
4,10,0.5,Partitioned,FIFO,Preemptive,First-Fit Decreasing,39.161664870011215,0.9411764705882353,3,51,34.4756793269527,1.0,16.17787865204275,406.1262779728891,0.0007147789001464844
4,10,0.5,Global,FIFO,Non-Preemptive,,27.347879561526465,0.9803921568627451,1,51,34.4756793269527,1.0,4.364093343558,406.1262779728891,0.0006873607635498047
4,10,0.5,Partitioned,FIFO,Non-Preemptive,First-Fit Decreasing,39.161664870011215,0.9411764705882353,3,51,34.4756793269527,1.0,16.17787865204275,406.1262779728891,0.0006899833679199219
4,10,0.5,Global,HEFT,Preemptive,,0.0,0.0,0,0,34.4756793269527,1.0,0.0,385.81996407424464,0.11259245872497559
4,10,0.5,Partitioned,HEFT,Preemptive,First-Fit Decreasing,0.0,0.0,0,0,34.4756793269527,1.0,0.0,385.81996407424464,0.11006760597229004
4,10,0.5,Global,HEFT,Non-Preemptive,,27.745441713615055,0.9803921568627451,1,51,34.4756793269527,1.0,4.76165549564659,385.81996407424464,0.0007779598236083984
4,10,0.5,Partitioned,HEFT,Non-Preemptive,First-Fit Decreasing,49.32171138566407,0.9019607843137255,5,51,34.4756793269527,1.0,26.3379251676956,385.81996407424464,0.0007615089416503906
4,10,0.5,Global,LDF,Preemptive,,0.0,0.0,0,0,34.4756793269527,1.0,0.0,426.4325918715336,0.1143183708190918
4,10,0.5,Partitioned,LDF,Preemptive,First-Fit Decreasing,0.0,0.0,0,0,34.4756793269527,1.0,0.0,426.4325918715336,0.10843491554260254
4,10,0.5,Global,LDF,Non-Preemptive,,28.061971423888806,0.9803921568627451,1,51,34.4756793269527,1.0,5.078185205920342,426.4325918715336,0.0007529258728027344
4,10,0.5,Partitioned,LDF,Non-Preemptive,First-Fit Decreasing,48.871385363592786,0.9019607843137255,5,51,34.4756793269527,1.0,25.88759914562432,426.4325918715336,0.0007574558258056641
